Asset,Strategy,TotalReturn,Sharpe,MDD
688_CHIP,1x 底层现货基准,257.76%,1.23,-36.99%
688_CHIP,2x 静态杠杆 ETF (每日做多 ETF),566.81%,1.04,-63.74%
688_CHIP,"专业策略 (每日 ETF) [2.0,1.2,0.3] (Max Sharpe)",282.84%,1.28,-45.42%
688_CHIP,"专业策略 (每日 ETF) [2.0,1.2,0.5] (Max Return)",282.96%,1.27,-44.25%
688_CHIP,"专业策略 (静态融资) [2.0,1.2,0.0] (Max Sharpe)",284.40%,1.29,-46.99%
688_CHIP,"专业策略 (静态融资) [2.0,1.2,0.3] (Max Return)",284.53%,1.28,-45.30%
688_CHIP,"散户现货策略 (非信仰型) [1.0,1.0,0.0] (Max Sharpe & Max Return)",308.60%,1.73,-19.53%
688_CHIP,"散户现货策略 (信仰型) [1.0,1.0,0.5] (Max Sharpe & Max Return)",303.83%,1.69,-19.33%
688_CHIP,"散户融资策略 (非信仰型) [1.5,1.5,0.0] (Max Sharpe)",581.68%,1.75,-28.58%
688_CHIP,"散户融资策略 (非信仰型) [2.0,1.5,0.0] (Max Return)",648.59%,1.69,-29.92%
688_CHIP,"散户融资策略 (信仰型) [1.5,1.5,0.5] (Max Sharpe)",573.71%,1.73,-28.41%
688_CHIP,"散户融资策略 (信仰型) [2.0,1.5,0.5] (Max Return)",639.84%,1.67,-29.91%
QQQ,1x 底层现货基准,100.50%,1.19,-22.77%
QQQ,2x 静态杠杆 ETF (每日做多 ETF),202.48%,1.06,-42.16%
QQQ,"专业策略 (每日 ETF) [1.5,1.5,0.8] (Max Sharpe)",94.62%,1.19,-20.21%
QQQ,"专业策略 (每日 ETF) [3.0,2.5,1.5] (Max Return)",182.23%,1.04,-38.77%
QQQ,"专业策略 (静态融资) [1.0,1.0,0.0] (Max Sharpe)",15.98%,1.68,-1.53%
QQQ,"专业策略 (静态融资) [3.0,2.5,1.5] (Max Return)",189.13%,1.06,-39.00%
QQQ,"散户策略 (非信仰型 ETF) [1.0,0.5,0.0] (Max Sharpe)",32.93%,0.82,-18.40%
QQQ,"散户策略 (非信仰型 ETF) [3.0,2.5,0.0] (Max Return)",68.46%,0.40,-64.55%
QQQ,"散户策略 (信仰型 ETF) [3.0,1.0,1.0] (Max Sharpe)",138.33%,1.25,-27.60%
QQQ,"散户策略 (信仰型 ETF) [3.0,1.5,1.5] (Max Return)",168.68%,1.14,-34.71%
QQQ,3x 真实 ETF (TQQQ),293.87%,0.93,-58.04%
SOXX,1x 底层现货基准,252.54%,1.31,-41.36%
SOXX,2x 静态杠杆 ETF (每日做多 ETF),579.10%,1.14,-71.09%
SOXX,"专业策略 (每日 ETF) [1.0,1.0,0.5] (Max Sharpe)",180.29%,1.41,-20.65%
SOXX,"专业策略 (每日 ETF) [3.0,2.5,1.5] (Max Return)",338.60%,1.20,-57.15%
SOXX,"专业策略 (静态融资) [1.0,1.0,0.5] (Max Sharpe)",189.60%,1.47,-20.06%
SOXX,"专业策略 (静态融资) [3.0,2.5,1.5] (Max Return)",343.23%,1.21,-57.16%
SOXX,"散户策略 (非信仰型 ETF) [1.0,0.5,0.0] (Max Sharpe)",59.37%,0.69,-37.83%
SOXX,"散户策略 (非信仰型 ETF) [3.0,2.0,0.0] (Max Return)",104.95%,0.33,-86.26%
SOXX,"散户策略 (信仰型 ETF) [1.5,1.0,1.0] (Max Sharpe)",223.64%,1.13,-44.10%
SOXX,"散户策略 (信仰型 ETF) [3.0,1.5,1.5] (Max Return)",386.73%,0.99,-67.21%
SOXX,3x 真实 ETF (SOXL),704.78%,0.87,-87.88%
MU,1x 底层现货基准,1456.99%,2.42,-57.63%
MU,2x 静态杠杆 ETF (每日做多 ETF),6628.53%,2.50,-87.83%
MU,"专业策略 (每日 ETF) [2.0,1.0,0.3] (Max Sharpe)",1310.88%,2.60,-46.95%
MU,"专业策略 (每日 ETF) [3.0,2.5,1.0] (Max Return)",1706.99%,2.52,-58.35%
MU,"专业策略 (静态融资) [2.0,1.0,0.3] (Max Sharpe)",1333.50%,2.62,-46.58%
MU,"专业策略 (静态融资) [3.0,2.5,1.0] (Max Return)",1709.42%,2.52,-58.34%
MU,"散户策略 (非信仰型 ETF) [1.5,1.5,0.0] (Max Sharpe)",3465.00%,2.65,-59.54%
MU,"散户策略 (非信仰型 ETF) [2.5,2.5,0.0] (Max Return)",10596.97%,2.61,-84.75%
MU,"散户策略 (信仰型 ETF) [2.0,2.0,0.8] (Max Sharpe)",6285.53%,2.58,-79.74%
MU,"散户策略 (信仰型 ETF) [2.5,2.5,0.8] (Max Return)",9675.76%,2.50,-88.11%
MU,2x 真实 ETF (MUU),2859.84%,4.25,-75.07%
SanDisk,1x 底层现货基准,5222.00%,15.71,-47.50%
SanDisk,2x 静态杠杆 ETF (每日做多 ETF),59956.60%,46.85,-77.65%
SanDisk,"专业策略 (每日 ETF) [2.5,2.5,0.3] (Max Sharpe)",5406.83%,16.98,-32.46%
SanDisk,"专业策略 (每日 ETF) [2.5,2.5,0.5] (Max Return)",5408.46%,16.82,-36.72%
SanDisk,"专业策略 (静态融资) [2.5,2.5,0.0] (Max Sharpe)",5347.06%,16.93,-31.34%
SanDisk,"专业策略 (静态融资) [2.5,2.5,0.3] (Max Return)",5375.79%,16.92,-32.70%
SanDisk,"散户策略 (非信仰型 ETF) [3.0,2.5,0.0] (Max Sharpe & Max Return)",39665.49%,29.68,-80.67%
SanDisk,"散户策略 (信仰型 ETF) [3.0,2.5,1.5] (Max Sharpe & Max Return)",98406.24%,56.96,-76.40%
SanDisk,2x 真实 ETF (SNXX),761.40%,53.27,-56.01%
